# y+ ()       
# Time        	patch         	min           	max           	average       
0.00608       	back	4.993369e+00	1.477803e+03	1.509503e+02
0.00608       	carMirror	1.023680e-01	2.085786e+02	2.755287e+01
0.00616       	back	5.732753e+00	1.492678e+03	1.511590e+02
0.00616       	carMirror	1.049783e-01	2.094296e+02	2.770322e+01
0.00624       	back	5.716754e+00	1.483583e+03	1.509543e+02
0.00624       	carMirror	1.236891e-01	2.148132e+02	2.785927e+01
0.00632       	back	5.289440e+00	1.458117e+03	1.504217e+02
0.00632       	carMirror	1.449422e-01	2.326019e+02	2.798413e+01
0.0064        	back	4.295189e+00	1.416291e+03	1.496290e+02
0.0064        	carMirror	1.503681e-01	2.441853e+02	2.810054e+01
0.00648       	back	3.702338e+00	1.429208e+03	1.486334e+02
0.00648       	carMirror	1.555688e-01	2.590852e+02	2.820028e+01
0.00656       	back	3.143550e+00	1.500744e+03	1.475362e+02
0.00656       	carMirror	1.620241e-01	2.611004e+02	2.826468e+01
0.00664       	back	3.143997e+00	1.558642e+03	1.465407e+02
0.00664       	carMirror	1.648727e-01	2.388305e+02	2.827091e+01
0.00672       	back	4.002079e+00	1.602274e+03	1.456773e+02
0.00672       	carMirror	1.712814e-01	2.399897e+02	2.823652e+01
0.0068        	back	4.842173e+00	1.638957e+03	1.448448e+02
0.0068        	carMirror	1.790938e-01	2.272512e+02	2.817583e+01
0.00688       	back	3.011749e+00	1.696329e+03	1.439818e+02
0.00688       	carMirror	1.826744e-01	2.317655e+02	2.810486e+01
0.00696       	back	5.547932e+00	1.820314e+03	1.430786e+02
0.00696       	carMirror	1.832047e-01	2.519024e+02	2.804673e+01
0.00704       	back	5.256699e+00	1.973301e+03	1.420674e+02
0.00704       	carMirror	1.713656e-01	2.745691e+02	2.800999e+01
0.00712       	back	4.258366e+00	2.031179e+03	1.409494e+02
0.00712       	carMirror	1.603806e-01	2.529439e+02	2.799685e+01
0.0072        	back	4.058929e+00	2.081326e+03	1.398539e+02
0.0072        	carMirror	1.498349e-01	2.252800e+02	2.800671e+01
0.00728       	back	4.851809e+00	2.061429e+03	1.388948e+02
0.00728       	carMirror	1.426633e-01	2.226733e+02	2.802345e+01
0.00736       	back	5.420035e+00	2.045934e+03	1.380219e+02
0.00736       	carMirror	1.439203e-01	2.199434e+02	2.805344e+01
0.00744       	back	4.585980e+00	2.070910e+03	1.371355e+02
0.00744       	carMirror	1.570915e-01	2.260679e+02	2.808789e+01
0.00752       	back	4.146564e+00	2.128510e+03	1.362591e+02
